article_id,image_path
686284001,data/processed\images\0686284001.jpg
820021001,data/processed\images\0820021001.jpg
754256001,data/processed\images\0754256001.jpg
821338004,data/processed\images\0821338001.jpg
651490003,data/processed\images\0651490001.jpg
755712001,data/processed\images\0755712001.jpg
696961004,data/processed\images\0696961001.jpg
836036002,data/processed\images\0836036001.jpg
638705002,data/processed\images\0638705001.jpg
678345001,data/processed\images\0678345001.jpg
933963001,data/processed\images\0933963001.jpg
768205011,data/processed\images\0768205001.jpg
538226001,data/processed\images\0538226001.jpg
685816037,data/processed\images\0685816001.jpg
766777012,data/processed\images\0766777001.jpg
690964015,data/processed\images\0690964001.jpg
719463003,data/processed\images\0719463001.jpg
650734010,data/processed\images\0650734001.jpg
690274001,data/processed\images\0690274001.jpg
732409003,data/processed\images\0732409001.jpg
771881001,data/processed\images\0771881001.jpg
633840001,data/processed\images\0633840001.jpg
648995003,data/processed\images\0648995001.jpg
592098003,data/processed\images\0592098001.jpg
527575005,data/processed\images\0527575001.jpg
619249001,data/processed\images\0619249001.jpg
607541004,data/processed\images\0607541001.jpg
738457003,data/processed\images\0738457001.jpg
698823002,data/processed\images\0698823001.jpg
592180001,data/processed\images\0592180001.jpg
736769013,data/processed\images\0736769001.jpg
565963001,data/processed\images\0565963001.jpg
760796001,data/processed\images\0760796001.jpg
777148004,data/processed\images\0777148001.jpg
540739001,data/processed\images\0540739001.jpg
592415005,data/processed\images\0592415001.jpg
608069047,data/processed\images\0608069001.jpg
738086001,data/processed\images\0738086001.jpg
869662001,data/processed\images\0869662001.jpg
858419001,data/processed\images\0858419001.jpg
751906001,data/processed\images\0751906001.jpg
743641002,data/processed\images\0743641001.jpg
769829002,data/processed\images\0769829001.jpg
678058001,data/processed\images\0678058001.jpg
679633003,data/processed\images\0679633001.jpg
562477002,data/processed\images\0562477001.jpg
560621004,data/processed\images\0560621001.jpg
770587002,data/processed\images\0770587001.jpg
505071010,data/processed\images\0505071001.jpg
697058002,data/processed\images\0697058001.jpg
663519001,data/processed\images\0663519001.jpg
582216002,data/processed\images\0582216001.jpg
657291004,data/processed\images\0657291001.jpg
651697003,data/processed\images\0651697001.jpg
748566027,data/processed\images\0748566001.jpg
746144009,data/processed\images\0746144001.jpg
838825002,data/processed\images\0838825001.jpg
915015001,data/processed\images\0915015001.jpg
794094001,data/processed\images\0794094001.jpg
581956001,data/processed\images\0581956001.jpg
755702002,data/processed\images\0755702001.jpg
820944001,data/processed\images\0820944001.jpg
639342003,data/processed\images\0639342001.jpg
527662001,data/processed\images\0527662001.jpg
707488004,data/processed\images\0707488001.jpg
562315001,data/processed\images\0562315001.jpg
684209012,data/processed\images\0684209001.jpg
738612002,data/processed\images\0738612001.jpg
792023002,data/processed\images\0792023001.jpg
789028001,data/processed\images\0789028001.jpg
571487002,data/processed\images\0571487001.jpg
576775012,data/processed\images\0576775001.jpg
620911001,data/processed\images\0620911001.jpg
525457001,data/processed\images\0525457001.jpg
783864001,data/processed\images\0783864001.jpg
817280008,data/processed\images\0817280001.jpg
666080003,data/processed\images\0666080001.jpg
697089002,data/processed\images\0697089001.jpg
533403001,data/processed\images\0533403001.jpg
677787001,data/processed\images\0677787001.jpg
607670005,data/processed\images\0607670001.jpg
597409001,data/processed\images\0597409001.jpg
805144002,data/processed\images\0805144001.jpg
810169020,data/processed\images\0810169001.jpg
834603003,data/processed\images\0834603001.jpg
679525002,data/processed\images\0679525001.jpg
678792003,data/processed\images\0678792001.jpg
901678001,data/processed\images\0901678001.jpg
766191001,data/processed\images\0766191001.jpg
624065001,data/processed\images\0624065001.jpg
815238002,data/processed\images\0815238001.jpg
791492010,data/processed\images\0791492001.jpg
792018001,data/processed\images\0792018001.jpg
857708001,data/processed\images\0857708001.jpg
507910021,data/processed\images\0507910001.jpg
725038001,data/processed\images\0725038001.jpg
627147002,data/processed\images\0627147001.jpg
806192001,data/processed\images\0806192001.jpg
863732001,data/processed\images\0863732001.jpg
669391001,data/processed\images\0669391001.jpg
706443002,data/processed\images\0706443001.jpg
643213001,data/processed\images\0643213001.jpg
734435005,data/processed\images\0734435001.jpg
919599001,data/processed\images\0919599001.jpg
796783016,data/processed\images\0796783001.jpg
804292003,data/processed\images\0804292001.jpg
679780001,data/processed\images\0679780001.jpg
846347005,data/processed\images\0846347001.jpg
825137001,data/processed\images\0825137001.jpg
656059002,data/processed\images\0656059001.jpg
766777002,data/processed\images\0766777001.jpg
759825001,data/processed\images\0759825001.jpg
687712001,data/processed\images\0687712001.jpg
628631004,data/processed\images\0628631001.jpg
760068002,data/processed\images\0760068001.jpg
742177009,data/processed\images\0742177001.jpg
798407001,data/processed\images\0798407001.jpg
674886004,data/processed\images\0674886001.jpg
796298004,data/processed\images\0796298001.jpg
685604026,data/processed\images\0685604001.jpg
721703001,data/processed\images\0721703001.jpg
582480026,data/processed\images\0582480001.jpg
816794008,data/processed\images\0816794001.jpg
787558002,data/processed\images\0787558001.jpg
695909006,data/processed\images\0695909001.jpg
822238002,data/processed\images\0822238001.jpg
905957007,data/processed\images\0905957001.jpg
646821004,data/processed\images\0646821001.jpg
751567002,data/processed\images\0751567001.jpg
854257001,data/processed\images\0854257001.jpg
756930001,data/processed\images\0756930001.jpg
567534008,data/processed\images\0567534001.jpg
480920004,data/processed\images\0480920001.jpg
