article_id,text
681107007,Sleeveless dress in a patterned cotton weave with a V-neck at the back and buttons down the back. Gathered seam and decorative bow at the waist and a flared skirt. Unlined. | Dahlia | Dress | Garment Full body | Children Sizes 92-140 | Blue | Stripe
686284001,"Long-sleeved jumper in jacquard-knit cotton with a hood with a pompom on top, and ribbing around the cuffs and hem. | Santa sweater | Sweater | Garment Upper body | Baby Sizes 50-98 | Red | All over pattern"
544254002,"Jumper in a soft, jacquard-knit cotton blend with long sleeves and ribbing around the neckline, cuffs and hem. | NEVADA | Sweater | Garment Upper body | Menswear | Black | All over pattern"
820021001,"Shirt in soft Oxford cotton with a button-down collar, classic front and yoke with a pleat and hanger at the back. Open chest pocket, long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Slightly longer at the back. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette. | Pat ls bd oxford gingham | Shirt | Garment Upper body | Menswear | Greenish Khaki | Check"
754256001,"Sports bra in fast-drying functional fabric. V-neck with a mesh detail front and back, removable inserts, double narrow shoulder straps and a racer back. Elastic hem. Medium support. | GREENVILLE high support bra | Bra | Underwear | Sport | Black | Solid"
821338004,"Ballet pumps with a decorative elastic bow on the front with metal tips. Satin linings, imitation leather insoles and smooth soles. | Bertie Ballerina | Ballerinas | Shoes | Ladies Accessories | Beige | Solid"
651490003,"Long-sleeved top in lightweight sweatshirt fabric with a print motif, jersey-lined hood and ribbing at the cuffs and hem. | Ronaldo thin hood | Hoodie | Garment Upper body | Children Sizes 134-170 | Light Grey | Placement print"
487205007,Fine-knit socks in a soft cotton blend with anti-slip protectors. | Anton 5-p antislip  SB | Socks | Socks & Tights | Children Sizes 92-140 | Turquoise | All over pattern
886270006,"5-pocket, ankle-length jeans in organic cotton denim with an extra-high waist, zip fly and button, and extra-wide legs that taper to the hems. | Balloon Pleat fit | Trousers | Garment Lower body | Divided | Blue | Denim"
755712001,"Set with a shirt, sweater vest and bow tie or tie. Shirt in a cotton weave with a narrow turn-down collar, buttons down the front and long sleeves with buttoned cuffs. V-neck sweater vest in fine-knit cotton with ribbed trims. Pre-tied tie/bow tie with an adjustable elastic strap and plastic fastener at the back. | Sune slipover set | Shirt | Garment Upper body | Children Sizes 92-140 | White | Solid"
696961004,"Set with a top and pair of shorts in soft cotton jersey. Top with appliqués on the front and flounced sleeves that continue down the sides. Shorts with a decorative bow at the front, an elasticated waist with a small frill trim at the top and diagonal side pockets. | Adriana SET DEAL | Garment Set | Garment Full body | Children Sizes 92-140 | Light Yellow | Application/3D"
836036002,"Short-sleeved romper suit in soft, patterned organic cotton jersey with buttons down the front and concealed press-studs at the crotch and down the legs. | HAAKAN overall | Jumpsuit/Playsuit | Garment Full body | Baby Sizes 50-98 | Grey | All over pattern"
640418002,"Short dress in a soft jacquard weave with short flounced sleeves, a V-neck and gathers at the shoulders. Narrow elasticated seam under the bust with a frill trim and ties. Partly lined. | Wanda Dress | Dress | Garment Full body | Ladieswear | Light Pink | All over pattern"
638705002,Fine-knit socks in a soft cotton blend. | Bosse 5p basic TVP | Socks | Socks & Tights | Baby Sizes 50-98 | Light Pink | All over pattern
678345001,CONSCIOUS Joggers in organic cotton sweatshirt fabric with an elasticated drawstring waist and ribbed hems. Soft brushed inside. | 2P SWEATPANTS FANCY | Trousers | Garment Lower body | Baby Sizes 50-98 | Light Beige | Melange
933963001,Set containing nine earrings and two ear cuffs in metal. Five pieces are decorated with glass rhinestones. Three of the earrings are hoops with small pendants. The zinc and brass content are recycled. | Cool Cinema earcuff pk | Earring | Accessories | Ladies Accessories | Gold | Solid
768205011,"Top in soft sweatshirt fabric with a kangaroo pocket, jersey-lined hood with a wrapover front, and ribbing at the cuffs and hem. Soft brushed inside. | ELLE hood (TVP) | Sweater | Garment Upper body | Children Sizes 134-170 | Black | Solid"
538226001,Long skirt in jacquard-weave mesh with wide elastication at the waist. Jersey underskirt. | Lovely skirt | Skirt | Garment Lower body | Ladieswear | Black | Other pattern
789247002,"Joggers in sturdy cotton piqué with an elasticated drawstring waist, fake fly, side pockets, a fake welt back pocket and ribbed hems. | JASON JOGGER | Trousers | Garment Lower body | Children Sizes 92-140 | Black | Melange"
685816037,Round-necked T-shirt in soft cotton jersey. | RONNY R-NECK | T-shirt | Garment Upper body | Menswear | Dark Blue | Solid
766777012,"Shorts in lightweight sweatshirt fabric with an elasticated, drawstring waistband, side pockets and rounded hems. Contrasting colour stripes and trims at the sides and hems. | Clara Fancy | Shorts | Garment Lower body | Children Sizes 134-170 | Light Yellow | Colour blocking"
690964015,"Leggings in stretch, printed cotton jersey with an elasticated waist. | James leggings | Leggings/Tights | Garment Lower body | Children Sizes 92-140 | Dark Blue | All over pattern"
801962005,Sleeveless dress in a patterned cotton weave with a small V-neck at the back of the neck and buttons at the back. Gathered seam at the waist and a decorative bow at the front. Unlined. | Dahlia | Dress | Garment Full body | Children Sizes 92-140 | Blue | All over pattern
719463003,Hope HW tapered linen | Trousers | Garment Lower body | Ladieswear | Greyish Beige | Solid
650734010,Make-up bag a zip at the top that continues down the short sides. Lined. Size approx. 7x11.5x18.5 cm. | CHLOE cosmetic bag | Bag | Accessories | Divided | Light Pink | All over pattern
690274001,"Slip-on, fabric trainers with elastic gores in the sides and a loop at the back. Canvas linings and insoles and thermoplastic rubber (TPR) soles. | Pax Slipon SB | Sneakers | Shoes | Children Accessories, Swimwear | Dark Blue | Solid"
732409003,Double-layered hat in a soft rib knit with a sewn-in turn-up at the hem with a small fabric appliqué on the front. | Beetle Beanie new | Beanie | Accessories | Divided | Black | Solid
771881001,"Straight-cut jacket in a striped cotton weave with narrow notch lapels, jetted front pockets and long sleeves with a tab and button. No fasteners. Unlined. | Madrid Blazer | Jacket | Garment Upper body | Divided | Beige | Stripe"
633840001,"Short, straight-cut dress in a slub-weave modal blend with a small, frilled collar, opening with narrow ties at the top and short sleeves. Unlined. | CS Forest | Dress | Garment Full body | Ladieswear | Light Blue | Stripe"
498793005,Sports top in fast-drying functional fabric with a racer back. | LYNN TANK | Vest top | Garment Upper body | Sport | Other Yellow | Solid
696356013,"Cap with a sweatband in a cotton weave and an adjustable plastic fastener at the back. | P-CAP OWN | Cap/peaked | Accessories | Children Accessories, Swimwear | Red | Placement print"
648995003,"Straight-cut dress in a soft weave with a V-neck and small stand-up collar. Dropped shoulders, short sleeves with sewn-in turn-ups and a rounded hem. Slightly longer at the back. Unlined. | Sorrel | Dress | Garment Full body | Ladieswear | White | All over pattern"
577805002,Long-sleeved shirt in a cotton weave with a button-down collar and buttons down the front. | MORLEY OXFORD SHIRT | Shirt | Garment Upper body | Children Sizes 92-140 | Dark Blue | Stripe
592098003,Sports tights in fast-drying functional fabric with ventilating mesh sections and a concealed drawstring at the waist with a key pocket in the waistband. | DREAM tights | Leggings/Tights | Garment Lower body | Sport | Dark Blue | Solid
527575005,"Cropped top in light sweatshirt fabric with a print motif. Dropped shoulders, long, wide sleeves with ribbed cuffs and raw-edge hem. | Bumbo DTP | Sweater | Garment Upper body | Divided | Dark Red | Front print"
619249001,"5-pocket, ankle-length jeans in washed denim with hard-worn details, in  a loose fit with a high waist, zip fly and button, low crotch and straight  legs with raw-edge hems. | Straight ankle HW Benji | Trousers | Garment Lower body | Ladieswear | Blue | Denim"
607541004,"Short dress in woven fabric with a round neckline and opening with a button at the back of the neck. Dropped shoulders, short, double-layered flounced sleeves and a detachable tie belt at the waist. Lined. | Billie | Dress | Garment Full body | Ladieswear | Light Pink | Solid"
